TimeNow;TimecodeSession;TimecodeTotal;TimecodeRecLength;TimecodeSequence;StartTimeTicks;MarkerColor;REF_MarkerName
5/12/2017 10:50:06 AM;00:34:27.1810000;00:34:27.2592911;00:34:27.2592911;00:34:27.2592915;20672698898;240,240,240;undefined marker
5/12/2017 10:50:31 AM;00:34:51.6620000;00:34:51.7414838;00:34:51.7414838;00:34:51.7414841;20917365320;255,255,255;undefined marker
5/12/2017 10:50:31 AM;00:34:51.7100000;00:34:51.7893143;00:34:51.7893143;00:34:51.7893146;20918031986;155,155,155;fpi13
5/12/2017 10:50:43 AM;00:35:04.0090000;00:35:04.0889167;00:35:04.0889167;00:35:04.0889173;21041031863;240,240,240;undefined marker
5/12/2017 10:50:44 AM;00:35:04.6950000;00:35:04.7744659;00:35:04.7744662;00:35:04.7744665;21048031856;255,255,255;undefined marker
5/12/2017 10:50:44 AM;00:35:04.7260000;00:35:04.8054285;00:35:04.8054285;00:35:04.8054288;21048365189;154,154,154;fpa14
5/12/2017 10:50:59 AM;00:35:20.2080000;00:35:20.2885236;00:35:20.2885236;00:35:20.2885242;21203031701;240,240,240;undefined marker
5/12/2017 10:51:16 AM;00:35:36.6240000;00:35:36.7048288;00:35:36.7048288;00:35:36.7048291;21367031537;153,153,153;fpi14
5/12/2017 10:51:28 AM;00:35:48.9730000;00:35:49.0543247;00:35:49.0543247;00:35:49.0543253;21490698080;240,240,240;undefined marker
5/12/2017 10:51:29 AM;00:35:49.7060000;00:35:49.7875108;00:35:49.7875108;00:35:49.7875111;21498031406;152,152,152;fpa15
5/12/2017 10:51:33 AM;00:35:53.5220000;00:35:53.6040566;00:35:53.6040569;00:35:53.6040572;21536364701;255,255,255;undefined marker
5/12/2017 10:51:33 AM;00:35:53.5560000;00:35:53.6375161;00:35:53.6375164;00:35:53.6375168;21536698034;240,240,240;undefined marker
5/12/2017 10:51:49 AM;00:36:10.0220000;00:36:10.1039673;00:36:10.1039673;00:36:10.1039676;21701031203;151,151,151;fpi15
5/12/2017 10:52:01 AM;00:36:22.3370000;00:36:22.4200379;00:36:22.4200379;00:36:22.4200382;21824364413;240,240,240;undefined marker
5/12/2017 10:52:02 AM;00:36:23.0370000;00:36:23.1198784;00:36:23.1198784;00:36:23.1198790;21831364406;150,150,150;fpa16
5/12/2017 10:52:15 AM;00:36:35.8200000;00:36:35.9030088;00:36:35.9030091;00:36:35.9030094;21959030945;240,240,240;undefined marker
5/12/2017 10:52:15 AM;00:36:36.2700000;00:36:36.3529070;00:36:36.3529070;00:36:36.3529073;21963697607;149,149,149;fpi16
5/12/2017 10:52:28 AM;00:36:48.5860000;00:36:48.6693219;00:36:48.6693219;00:36:48.6693222;22086697484;240,240,240;undefined marker
5/12/2017 10:52:28 AM;00:36:49.3020000;00:36:49.3861819;00:36:49.3861822;00:36:49.3861825;22094030810;148,148,148;fpa17
5/12/2017 10:52:39 AM;00:37:00.2680000;00:37:00.3522046;00:37:00.3522049;00:37:00.3522053;22203697367;240,240,240;undefined marker
5/12/2017 10:53:25 AM;00:37:45.8980000;00:37:45.9842940;00:37:45.9842940;00:37:45.9842943;22660030244;147,147,147;fpi17
5/12/2017 10:53:37 AM;00:37:58.2480000;00:37:58.3339906;00:37:58.3339906;00:37:58.3339909;22783364154;240,240,240;undefined marker
5/12/2017 10:53:38 AM;00:37:58.9480000;00:37:59.0341516;00:37:59.0341516;00:37:59.0341520;22790364247;146,146,146;fpa18
5/12/2017 10:53:42 AM;00:38:02.6310000;00:38:02.7171175;00:38:02.7171178;00:38:02.7171182;22827364660;255,255,255;undefined marker
5/12/2017 10:53:42 AM;00:38:02.6640000;00:38:02.7504196;00:38:02.7504196;00:38:02.7504199;22827697993;240,240,240;undefined marker
5/12/2017 10:54:09 AM;00:38:30.3620000;00:38:30.4497705;00:38:30.4497705;00:38:30.4497708;23104700116;145,145,145;fpi18
5/12/2017 10:54:22 AM;00:38:42.6480000;00:38:42.7356804;00:38:42.7356804;00:38:42.7356810;23227700643;240,240,240;undefined marker
5/12/2017 10:54:22 AM;00:38:43.3950000;00:38:43.4829875;00:38:43.4829875;00:38:43.4829878;23235034069;144,144,144;fpa19
5/12/2017 10:54:28 AM;00:38:48.8300000;00:38:48.9182248;00:38:48.9182248;00:38:48.9182255;23289368048;240,240,240;undefined marker
5/12/2017 10:54:51 AM;00:39:11.4590000;00:39:11.5484839;00:39:11.5484839;00:39:11.5484842;23515702205;143,143,143;fpi19
5/12/2017 10:55:03 AM;00:39:23.7920000;00:39:23.8814889;00:39:23.8814889;00:39:23.8814892;23639036265;240,240,240;undefined marker
5/12/2017 10:55:04 AM;00:39:24.5250000;00:39:24.6150167;00:39:24.6150170;00:39:24.6150173;23646369591;142,142,142;fpa20
5/12/2017 10:55:11 AM;00:39:31.6910000;00:39:31.7812667;00:39:31.7812667;00:39:31.7812670;23718036186;240,240,240;undefined marker
5/12/2017 10:55:31 AM;00:39:52.4070000;00:39:52.4977370;00:39:52.4977370;00:39:52.4977373;23925036979;141,141,141;fpi20
5/12/2017 10:55:44 AM;00:40:04.7390000;00:40:04.8304684;00:40:04.8304684;00:40:04.8304687;24048704022;240,240,240;undefined marker
5/12/2017 10:55:45 AM;00:40:05.4720000;00:40:05.5635482;00:40:05.5635482;00:40:05.5635489;24055704015;140,140,140;fpa21
5/12/2017 10:55:49 AM;00:40:10.1220000;00:40:10.2135694;00:40:10.2135694;00:40:10.2135697;24102370785;240,240,240;undefined marker
5/12/2017 10:56:34 AM;00:40:54.8860000;00:40:54.9789085;00:40:54.9789085;00:40:54.9789091;24550038404;139,139,139;fpi21
5/12/2017 10:56:46 AM;00:41:07.1710000;00:41:07.2647323;00:41:07.2647323;00:41:07.2647330;24672705448;240,240,240;undefined marker
5/12/2017 10:56:47 AM;00:41:07.9190000;00:41:08.0122775;00:41:08.0122775;00:41:08.0122781;24680372107;138,138,138;fpa22
5/12/2017 10:57:04 AM;00:41:24.9670000;00:41:25.0613355;00:41:25.0613355;00:41:25.0613358;24850705720;240,240,240;undefined marker
5/12/2017 10:57:13 AM;00:41:34.1500000;00:41:34.2445055;00:41:34.2445055;00:41:34.2445061;24942705628;137,137,137;fpi22
5/12/2017 10:57:26 AM;00:41:46.4350000;00:41:46.5301920;00:41:46.5301920;00:41:46.5301927;25065372672;240,240,240;undefined marker
5/12/2017 10:57:26 AM;00:41:47.1680000;00:41:47.2628348;00:41:47.2628348;00:41:47.2628351;25072705998;255,255,255;undefined marker
5/12/2017 10:57:26 AM;00:41:47.1990000;00:41:47.2941167;00:41:47.2941167;00:41:47.2941171;25073039331;136,136,136;fpa23
5/12/2017 10:57:35 AM;00:41:56.3820000;00:41:56.4772545;00:41:56.4772545;00:41:56.4772548;25165039539;255,255,255;undefined marker
5/12/2017 10:57:35 AM;00:41:56.4150000;00:41:56.5107735;00:41:56.5107735;00:41:56.5107738;25165372872;240,240,240;undefined marker
5/12/2017 10:57:48 AM;00:42:08.5500000;00:42:08.6455384;00:42:08.6455384;00:42:08.6455390;25286706234;255,255,255;undefined marker
5/12/2017 10:57:48 AM;00:42:08.5980000;00:42:08.6935496;00:42:08.6935496;00:42:08.6935500;25287039567;135,135,135;fpi23
5/12/2017 10:58:00 AM;00:42:20.8800000;00:42:20.9765082;00:42:20.9765085;00:42:20.9765089;25410039894;240,240,240;undefined marker
5/12/2017 10:58:01 AM;00:42:21.5800000;00:42:21.6766200;00:42:21.6766200;00:42:21.6766207;25417039887;134,134,134;fpa24
5/12/2017 10:58:08 AM;00:42:28.5460000;00:42:28.6428632;00:42:28.6428632;00:42:28.6428635;25486706484;240,240,240;undefined marker
5/12/2017 10:58:22 AM;00:42:42.5130000;00:42:42.6096222;00:42:42.6096222;00:42:42.6096226;25626374811;133,133,133;fpi24
5/12/2017 10:58:34 AM;00:42:54.8450000;00:42:54.9421005;00:42:54.9421005;00:42:54.9421009;25749709571;240,240,240;undefined marker
5/12/2017 10:58:35 AM;00:42:55.5610000;00:42:55.6587759;00:42:55.6587759;00:42:55.6587762;25756709664;132,132,132;fpa25
5/12/2017 10:58:39 AM;00:42:59.4940000;00:42:59.5920376;00:42:59.5920379;00:42:59.5920382;25796043408;240,240,240;undefined marker
5/12/2017 10:58:58 AM;00:43:18.4760000;00:43:18.5748834;00:43:18.5748834;00:43:18.5748840;25986045618;131,131,131;fpi25
5/12/2017 10:59:10 AM;00:43:30.7790000;00:43:30.8774477;00:43:30.8774480;00:43:30.8774483;26109046995;240,240,240;undefined marker
5/12/2017 10:59:10 AM;00:43:30.9780000;00:43:31.0765140;00:43:31.0765140;00:43:31.0765147;26111046993;255,255,255;undefined marker
5/12/2017 10:59:10 AM;00:43:31.0090000;00:43:31.1078744;00:43:31.1078744;00:43:31.1078747;26111380326;110,110,110;FPfinalpayment_2nd
5/12/2017 10:59:13 AM;00:43:34.0590000;00:43:34.1576959;00:43:34.1576959;00:43:34.1576962;26141714029;240,240,240;undefined marker
5/12/2017 10:59:39 AM;00:43:59.8110000;00:43:59.9113741;00:43:59.9113741;00:43:59.9113741;26392715878;244,244,244;undefined marker
