TimeNow;TimecodeSession;TimecodeTotal;TimecodeRecLength;TimecodeSequence;StartTimeTicks;MarkerColor;REF_MarkerName
5/12/2017 10:20:30 AM;00:04:50.6650000;00:04:50.6760117;00:04:50.6760117;00:04:50.6760124;2906716664;255,255,255;undefined marker
5/12/2017 10:20:30 AM;00:04:50.6960000;00:04:50.7066681;00:04:50.7066681;00:04:50.7066688;2907049997;212,212,212;da10
5/12/2017 10:20:34 AM;00:04:55.3470000;00:04:55.3587408;00:04:55.3587408;00:04:55.3587415;2953383284;240,240,240;undefined marker
5/12/2017 10:20:51 AM;00:05:12.2110000;00:05:12.2228733;00:05:12.2228736;00:05:12.2228739;3122049782;211,211,211;infod10
5/12/2017 10:21:04 AM;00:05:24.4450000;00:05:24.4578081;00:05:24.4578081;00:05:24.4578084;3244382993;255,255,255;undefined marker
5/12/2017 10:21:04 AM;00:05:24.4770000;00:05:24.4890821;00:05:24.4890821;00:05:24.4890827;3244716326;240,240,240;undefined marker
5/12/2017 10:21:04 AM;00:05:25.1100000;00:05:25.1228345;00:05:25.1228348;00:05:25.1228351;3251049653;210,210,210;da11
5/12/2017 10:21:25 AM;00:05:46.3940000;00:05:46.4075613;00:05:46.4075613;00:05:46.4075617;3464049440;255,255,255;undefined marker
5/12/2017 10:21:25 AM;00:05:46.4250000;00:05:46.4385291;00:05:46.4385291;00:05:46.4385297;3464382773;240,240,240;undefined marker
5/12/2017 10:21:26 AM;00:05:46.5590000;00:05:46.5720316;00:05:46.5720316;00:05:46.5720322;3465716105;209,209,209;infod11
5/12/2017 10:21:38 AM;00:05:58.7940000;00:05:58.8077507;00:05:58.8077507;00:05:58.8077514;3588049316;240,240,240;undefined marker
5/12/2017 10:21:39 AM;00:05:59.4430000;00:05:59.4567764;00:05:59.4567764;00:05:59.4567771;3594382643;255,255,255;undefined marker
5/12/2017 10:21:39 AM;00:05:59.4750000;00:05:59.4882453;00:05:59.4882453;00:05:59.4882456;3594715976;208,208,208;da12
5/12/2017 10:21:52 AM;00:06:12.7070000;00:06:12.7210301;00:06:12.7210301;00:06:12.7210307;3727049177;240,240,240;undefined marker
5/12/2017 10:21:56 AM;00:06:17.1230000;00:06:17.1375539;00:06:17.1375539;00:06:17.1375542;3771382466;207,207,207;infod12
5/12/2017 10:22:08 AM;00:06:29.3420000;00:06:29.3568221;00:06:29.3568221;00:06:29.3568228;3893382344;240,240,240;undefined marker
5/12/2017 10:22:09 AM;00:06:30.0060000;00:06:30.0207176;00:06:30.0207176;00:06:30.0207183;3900049004;206,206,206;da13
5/12/2017 10:22:32 AM;00:06:52.4710000;00:06:52.4867317;00:06:52.4867317;00:06:52.4867320;4124715446;240,240,240;undefined marker
5/12/2017 10:22:32 AM;00:06:53.3730000;00:06:53.3885867;00:06:53.3885870;00:06:53.3885873;4133715437;255,255,255;undefined marker
5/12/2017 10:22:32 AM;00:06:53.4210000;00:06:53.4366987;00:06:53.4366987;00:06:53.4366994;4134382103;205,205,205;infod13
5/12/2017 10:22:45 AM;00:07:05.6530000;00:07:05.6696464;00:07:05.6696464;00:07:05.6696467;4256715314;240,240,240;undefined marker
5/12/2017 10:22:45 AM;00:07:06.2870000;00:07:06.3028833;00:07:06.3028833;00:07:06.3028836;4263048641;204,204,204;da14
5/12/2017 10:23:05 AM;00:07:25.9880000;00:07:26.0048927;00:07:26.0048927;00:07:26.0048933;4460048444;255,255,255;undefined marker
